"Name","Ticker","Sector","Quantity","Average Cost","Current Price","Total Cost","Market Value","YTD (%)","P&L (%)","Return (%)"
"Micron Technology Inc.","MU","Technology","100","51.00","51.37","5100.00","5137.00","15.93%","37.00","0.73%"
"NVIDIA Corporation","NVDA","Technology","175","203.14","254.79","35550.00","44588.25","27.32%","9,038.25","25.42%"
